"timeMillisSpent","scoreCalculationSpeed"
1011,654
2003,1419
3008,1546
4003,2114
5002,2956
6007,2664
7007,2419
8007,2089
9004,2021
10012,1687
11093,964
12000,445
13007,825
14000,1074
15001,1238
16003,1161
17011,1172
18006,1339
19006,1296
20000,1230
21022,1235
22003,1282
23006,1294
24005,1243
25001,1276
26000,1302
27007,1231
28004,1191
29001,1247
30005,1312
31023,1209
32002,1354
33004,878
34021,1226
35005,1153
36001,1124
37009,987
38033,1061
39009,1195
40001,972
41016,1151
42003,1019
43000,1254
44004,1283
45011,1250
46000,1254
47030,1300
48000,1230
49006,1257
50014,1279
51005,1264
52007,1269
53011,1205
54004,1263
55000,1303
56013,1190
57001,1311
58005,1222
59012,1169
60003,1291
61015,1263
62003,1293
63000,1270
64019,1243
65009,1288
66001,1258
67011,1359
68001,1306
69006,1270
70005,1223
71004,1318
72006,1297
73004,1268
74000,1244
75004,1285
76006,1172
77004,1168
78001,1244
79000,1087
80005,1040
81004,1105
82003,1209
83005,969
84012,1238
85007,1221
86001,1248
87005,1267
88005,1303
89003,1245
90000,1318
91025,1270
92053,1338
93000,1236
94012,1296
95001,1266
96001,1291
97005,1278
98000,1233
99017,1282
100006,1259
101008,1278
102009,1263
103010,1279
104002,1268
105004,1244
106020,1281
107001,1256
108001,1309
109004,1293
110000,1118
111002,1213
112026,1278
113005,936
114006,971
115003,1139
116027,1215
117010,957
118007,1150
119015,994
120016,1099
121023,1314
122002,1304
123000,1232
124038,1209
125001,1206
126003,1297
127006,1316
128004,1320
129004,1310
130035,1258
131008,1311
132023,1316
133012,1378
134000,1297
135015,1210
136038,1304
137007,1241
138019,1243
139000,1284
140016,1170
141009,1129
142009,1308
