"timeMillisSpent","score"
9701,"-31hard/-1214243soft"
10199,"-31hard/-1211938soft"
10765,"-31hard/-1211550soft"
11675,"-31hard/-1211056soft"
13162,"-30hard/-1215755soft"
13242,"-30hard/-1215475soft"
13735,"-29hard/-1269424soft"
16064,"-28hard/-1411169soft"
22788,"-28hard/-1396413soft"
26171,"-28hard/-1384037soft"
29443,"-27hard/-1439333soft"
30594,"-26hard/-1472037soft"
50916,"-26hard/-1409636soft"
51050,"-26hard/-1409497soft"
58130,"-26hard/-1358446soft"
58188,"-26hard/-1356583soft"
64661,"-25hard/-1376188soft"
75623,"-25hard/-1353600soft"
91612,"-25hard/-1305021soft"
91622,"-25hard/-1305010soft"
94920,"-24hard/-1385950soft"
98018,"-24hard/-1380256soft"
98024,"-24hard/-1380166soft"
111656,"-24hard/-1376625soft"
111659,"-24hard/-1376556soft"
111714,"-24hard/-1376304soft"
111718,"-24hard/-1375829soft"
114862,"-24hard/-1364237soft"
114877,"-24hard/-1363497soft"
114991,"-24hard/-1361489soft"
114995,"-24hard/-1359734soft"
115040,"-24hard/-1358674soft"
117190,"-23hard/-1429319soft"
117396,"-23hard/-1421115soft"
117399,"-23hard/-1420835soft"
117855,"-23hard/-1419877soft"
117926,"-22hard/-1423812soft"
118238,"-22hard/-1418680soft"
133494,"-22hard/-1413882soft"
136536,"-22hard/-1413413soft"
136997,"-22hard/-1411466soft"
139226,"-22hard/-1402999soft"
140360,"-22hard/-1390562soft"
148818,"-22hard/-1367005soft"
148827,"-22hard/-1366915soft"
150287,"-21hard/-1437837soft"
150291,"-21hard/-1437647soft"
150553,"-21hard/-1428100soft"
152574,"-21hard/-1412483soft"
152596,"-21hard/-1411343soft"
157363,"-21hard/-1393925soft"
160587,"-21hard/-1388293soft"
160591,"-21hard/-1387251soft"
163900,"-21hard/-1385492soft"
164916,"-21hard/-1379157soft"
165594,"-21hard/-1371747soft"
165625,"-21hard/-1371360soft"
168885,"-21hard/-1370154soft"
168890,"-21hard/-1368304soft"
168893,"-21hard/-1367664soft"
172621,"-21hard/-1357980soft"
183916,"-21hard/-1357189soft"
186278,"-21hard/-1356278soft"
191534,"-21hard/-1354873soft"
193878,"-21hard/-1348818soft"
194192,"-20hard/-1369041soft"
201452,"-19hard/-1391118soft"
209764,"-18hard/-1449651soft"
216491,"-18hard/-1429435soft"
219128,"-18hard/-1397723soft"
222299,"-18hard/-1394991soft"
232749,"-18hard/-1373177soft"
234167,"-18hard/-1364609soft"
242212,"-18hard/-1364108soft"
243911,"-18hard/-1360522soft"
247038,"-18hard/-1355877soft"
249248,"-18hard/-1355685soft"
253234,"-18hard/-1344680soft"
253241,"-18hard/-1344585soft"
253244,"-18hard/-1344465soft"
259193,"-18hard/-1336317soft"
266591,"-17hard/-1409022soft"
266596,"-17hard/-1406288soft"
268609,"-17hard/-1366951soft"
272110,"-16hard/-1405158soft"
285134,"-16hard/-1397384soft"
289261,"-16hard/-1394083soft"
289426,"-16hard/-1389378soft"
295275,"-16hard/-1388928soft"
295584,"-16hard/-1384506soft"
296447,"-16hard/-1383986soft"
296837,"-15hard/-1395020soft"
