"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
9604,1,104
9607,1,2
9609,1,2
9615,1,5
9624,1,10
9626,1,1
9627,1,2
9731,1,81
9735,1,4
9739,1,3
9754,1,13
9764,1,10
9771,1,8
9772,1,1
9793,1,21
9797,1,4
9837,1,40
9895,1,52
9904,1,9
9909,1,6
9931,1,24
9934,1,4
9955,1,22
9968,1,13
10009,1,27
10020,1,12
10022,1,2
10025,1,4
10054,1,22
10056,1,2
10068,1,10
10083,1,14
10099,1,21
10109,1,13
10127,1,16
10169,1,37
10186,1,17
10189,1,5
10201,1,10
10233,1,28
10253,1,22
10276,1,23
10287,1,14
10293,1,7
10296,1,4
10321,1,24
10323,1,1
10324,1,1
10325,1,1
10326,1,2
10335,1,11
10335,1,1
10347,1,12
10348,1,2
10369,1,6
10378,1,6
10395,1,15
10400,1,5
10405,1,6
10418,1,11
10422,1,4
10432,1,9
10446,1,12
10459,1,7
10461,1,2
10474,1,9
10476,1,2
10478,1,4
10485,1,7
10489,1,3
10501,1,10
10502,1,1
10502,1,1
10509,1,6
10510,1,1
10523,1,15
10524,1,1
10525,1,1
10534,1,10
10541,1,7
10549,1,8
10572,1,21
10573,1,1
10602,1,34
10603,1,1
10618,1,14
10628,1,6
10635,1,5
10656,1,14
10675,1,10
10679,1,2
10692,1,7
10704,1,8
10723,1,17
10742,1,16
10743,1,1
10760,1,15
10766,1,6
10773,1,5
10777,1,4
10783,1,5
10791,1,6
10795,1,3
10802,1,4
10814,1,6
10819,1,5
10846,1,19
10851,1,4
10852,1,1
10905,1,26
10906,1,1
10907,1,2
10922,1,9
10927,1,6
10954,1,11
10962,1,6
10998,1,15
11005,1,4
11031,1,20
11034,1,4
11063,1,13
11065,1,1
11092,1,36
11109,1,14
11122,1,5
11131,1,7
11134,1,4
11136,1,2
11181,1,25
11186,1,5
11195,1,8
11202,1,7
11203,1,2
11204,1,2
11205,1,3
11210,1,6
11214,1,5
11230,1,18
11241,1,10
11248,1,6
11254,1,4
11271,1,17
11280,1,7
11288,1,6
11293,1,7
11299,1,9
11320,1,8
11334,1,9
11348,1,16
11351,1,3
11361,1,13
11373,1,14
11386,1,16
11388,1,2
11388,1,1
11393,1,6
11395,1,2
11396,1,2
11398,1,4
11403,1,4
11413,1,10
11422,1,14
11424,1,3
11437,1,14
11451,1,14
11452,1,1
11454,1,2
11481,1,28
11487,1,5
11496,1,12
11531,1,21
11564,1,41
11566,1,3
11573,1,8
11575,1,2
11578,1,4
11584,1,5
11598,1,13
11600,1,3
11603,1,4
11606,1,2
11614,1,9
11624,1,15
11628,1,6
11638,1,14
11639,1,1
11651,1,9
11653,1,2
11657,1,4
11659,1,2
11664,1,7
11695,1,32
11698,1,3
11705,1,8
11707,1,1
11713,1,6
11718,1,6
11719,1,1
11724,1,6
11727,1,5
11741,1,16
11754,1,14
11761,1,8
11768,1,8
11777,1,8
11785,1,8
11792,1,7
11801,1,12
11802,1,1
11804,1,5
11811,1,9
11817,1,9
11828,1,13
11834,1,5
11838,1,3
11843,1,6
11851,1,10
11854,1,4
11863,1,9
11868,1,3
11870,1,1
11875,1,6
11891,1,21
11892,1,2
11892,1,1
11893,1,1
11894,1,1
11896,1,3
11910,1,12
11934,1,31
11934,1,1
11944,1,10
11970,1,18
11972,1,2
11974,1,2
12002,1,33
12014,1,14
12017,1,5
12022,1,6
12036,1,21
12050,1,19
12052,1,4
12054,1,2
12060,1,8
12062,1,2
12064,1,3
12071,1,10
12072,1,2
12074,1,3
12075,1,2
12082,1,6
12085,1,4
12092,1,11
12095,1,5
12096,1,2
12101,1,6
12109,1,10
12112,1,3
12117,1,5
12123,1,10
